Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Contains reference to Rijndael (AES predecessor) algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to RIPEMD160 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to RNG (random number generator) .NET Framework classes.	general	1	0	0	0	
Contains reference to RSA algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to SHA1 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to SHA256 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to SHA384 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to SHA512 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to The Onion Router (TOR) executables.	general	0	0	0	0	
Contains reference to TripleDES algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to Zip compression .NET Framework classes.	general	0	0	0	0	
Contains references to anonymous e-mail providers.	general	0	0	0	0	
Contains references to archive/compressed file extensions.	general	1	0	0	0	
Contains references to audio file extensions.	general	1	0	0	0	
Contains references to document file extensions.	general	1	0	1	0	
Contains references to executable file extensions.	general	1	0	0	0	
Contains references to image file extensions.	general	1	0	0	0	
Contains references to source code file extensions.	general	1	0	1	0	
Contains references to TOR/hidden services URLs.	general	1	0	0	1	
Contains references to UNIX\\Linux default mail locations.	general	1	0	0	0	
Contains references to UNIX\\Linux login log files.	general	1	0	0	0	
Contains references to video file extensions.	general	1	0	0	0	
Contains ROL encrypted PE file.	general	0	0	0	0	T1027
Contains Ruby scripts.	general	0	0	0	0	T1064
Contains single-byte ADD encrypted PE file.	general	0	0	0	0	T1027
Contains single-byte key-decrement ADD encrypted PE file.	general	0	0	0	0	T1027
Contains single-byte key-decrement XOR encrypted PE file.	general	0	0	0	0	T1027
Contains single-byte key-increment ADD encrypted PE file.	general	0	0	0	0	T1027
Contains single-byte key-increment XOR encrypted PE file.	general	0	0	0	0	T1027
Contains single-byte XOR encrypted PE file.	general	0	0	0	0	T1027
Contains slz compressed PE file.	general	0	0	0	0	T1027
Contains Solo debit card numbers.	general	0	0	0	0	
Contains strings found in a Lua script interpreter.	general	0	0	0	0	
Contains strings found in botan crypto library.	general	1	0	0	0	
Contains strings found in cryptlib crypto library.	general	1	0	0	0	
Contains strings found in cryptopp crypto library.	general	1	0	0	0	
Contains strings found in GnuPG crypto library.	general	1	0	0	0	
Contains strings found in GnuTLS crypto library.	general	1	0	0	0	
Contains strings found in NaCL crypto library.	general	1	0	0	0	
Contains strings found in Nettle crypto library.	general	1	0	0	0	
Contains strings found in NSS crypto library.	general	1	0	0	0	
Contains strings found in OpenSSL crypto library.	general	1	0	0	0	
Contains strings found in the V8 JavaScript interpreter.	general	0	0	0	0	
Contains Switch debit card numbers.	general	0	0	0	0	
Contains ucl compressed PE file.	general	0	0	0	0	T1027
Contains UNIX shell scripts.	general	0	0	0	0	T1064
Contains unusually long strings for a typical VBA macro.	general	0	0	0	0	
Contains URIs related to Ad-Aware security products.	general	0	0	0	0	
Contains URIs related to Agnitum security products.	general	0	0	0	0	
Contains URIs related to AhnLab security products.	general	0	0	0	0	
Contains URIs related to Avast security products.	general	0	0	0	0	
Contains URIs related to AVG security products.	general	0	0	0	0	
Contains URIs related to Avira security products.	general	0	0	0	0	
Contains URIs related to BitDefender security products.	general	0	0	0	0	
Contains URIs related to CA security products.	general	0	0	0	0	
Contains URIs related to CheckPoint security products.	general	0	0	0	0	
Contains URIs related to ClamAV security products.	general	0	0	0	0	
Contains URIs related to common security products, firewalls or anti-virus solutions.	general	0	0	0	0	
Contains URIs related to Comodo security products.	general	0	0	0	0	
Contains URIs related to DrWeb security products.	general	0	0	0	0	
Contains URIs related to ESET security products.	general	0	0	0	0	
Contains URIs related to F-Secure security products.	general	0	0	0	0	
Contains URIs related to Fortinet security products.	general	0	0	0	0	
Contains URIs related to G Data security products.	general	0	0	0	0	
Contains URIs related to K7 Computing security products.	general	0	0	0	0	
Contains URIs related to Kaspersky security products.	general	0	0	0	0	
